frontal_asymmetry,mean_eeg_tp10_post,mean_eeg_tp9_post,lf_hf_baseline,mean_eeg_af8_post,mean_eeg_af7_post,participant_id,label
0.009579188079260347,0.005506010150111251,-0.015994666112192135,0.06377698501773921,0.01855510574841901,0.07003678730470711,P003,1
0.04586574108689092,0.04758398169160501,0.009965683948939841,0.04935729088892913,0.02383580333712416,0.05143026586174528,P003,1
-0.03251867992712505,0.023738672240688173,0.007903047700892785,0.013123123163859418,-0.014612907602031554,-0.07802147919073832,P003,0
-0.035492743472150326,-0.05033752142308003,-0.040645097898641326,0.03194224226026563,-0.008721659875391197,-0.05583625111312358,P003,0
0.04021444375603096,0.0608258593060782,0.02773095042575733,0.039778152037433755,0.009417109388095923,-0.007334579634698457,P003,1
-0.05308769836583451,0.019709632072590466,-0.017594008289961494,-0.004091908853206405,-0.01282647886050654,-0.05337555929863811,P003,0
-0.07004398910903546,-0.0526663821123293,-0.04658335948370222,0.021737120704528934,-0.014443173736890458,-0.05759146393111223,P003,0
0.062304319818031216,0.009655424865923124,-0.04482760410519404,-0.019489243012139924,0.015212587634505326,-0.059165422874093564,P004,0
0.06687345796617591,-0.05274175692920835,-0.011527068394298113,-0.009429133950834511,0.007345542376788217,0.05351824169747488,P004,0
-0.060443309762376884,0.020231438118025837,0.06304201009670578,0.0014087651252339128,-0.02171750976108342,0.04663537938258742,P004,0
-0.07730909659230747,-0.04979725603479892,-0.04171824727218336,-0.014922880304948195,-0.01249579147665827,-0.05669652955994024,P004,0
-0.02431385816007605,-0.0332793936937378,0.060488840829202674,-0.0030221812639865675,-0.05750466651538773,0.0477748885854453,P004,0
-0.05437433688448436,-0.030876765737320965,-0.02637137432320742,-0.013267434905174014,-0.05154658926603588,0.02794743563135853,P004,0
-0.021637780377113815,-0.021649072668515144,0.007230223253009172,-0.010127761608782749,-0.012569126081825744,0.05410022263040446,P004,0
-0.07913422244828325,-0.024643851993914723,-0.017069839618307013,-0.012082993082549365,-0.032022791580766354,-0.06332411757553018,P004,0
0.04957156149303046,-0.08376782215709681,-0.010216273872902092,-0.004042347238464572,-0.023007932723839986,0.018013779694047116,P004,0
