File,SensorId,Sensor_Location,Feature,Tiro_A,Tiro_B,DTW_Distance
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,2,0.04992106815537584
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,3,0.02758070599432851
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,4,0.10787886166678733
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,5,0.10626966680074504
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,3,0.10810049045396439
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,4,0.052059760510856076
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,5,0.0435159947758207
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,4,0.14190889873811388
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,5,0.20423641027867157
data_P1_tanda_5.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,4,5,0.02269824696521202
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.03602439803986353
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.02756305162196215
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.022610655930262156
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,5,0.029803052210932848
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,3,0.013752577288443282
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,4,0.06564304150829309
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,5,0.02314266102038032
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,4,0.07624686184683087
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,5,0.02334719312790678
data_P1_tanda_5.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,4,5,0.04559106980605794
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.43284702301025435
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.1724280118942263
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.3359776735305788
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,5,0.2840017080307003
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,3,0.6052750349044803
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,4,0.09686934947967545
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,5,0.1488453149795533
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,4,0.5084056854248051
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,5,0.4564297199249272
data_P2_tanda_1.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,4,5,0.051975965499877944
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,2,0.03530803322792047
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,3,0.053402543067932
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,4,0.06941261887550346
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,5,0.0651886165142058
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,3,0.08871057629585233
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,4,0.034104585647583036
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,5,0.10049664974212622
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,4,0.1228151619434354
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,5,0.011786073446273807
data_P2_tanda_1.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,4,5,0.13460123538970922
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,2,0.06412618542860637
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,3,0.039402203574014215
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,4,0.057150205428475785
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,5,0.058298794906963915
