,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T3-Shot5,0.43749501643789684,0.3060240307296322,0.2158381033667771,0.1944799933134901,0.2434612806592505,0.35835762715344754,0.2908309706305607,0.3892551185660582,0.256393583211966,0.30767458803392667,0.0,0.2647118206988827,0.26054041832019803,0.38713010905852496,0.26713894175060937,0.17246915785235217,0.16059302743730244,0.2736445340079177,0.34365419677802644,0.2930839381903152,0.37863906604719905
T4-Shot1,0.5278929591843269,0.31714419402903077,0.2511891456161357,0.25834961228772674,0.3554948079743659,0.5350534240841625,0.09957901107268549,0.27204256851497705,0.2644585890241471,0.3061794939501766,0.2647118206988827,0.0,0.12516120176739537,0.23311751434457184,0.2171843660483161,0.2993076142324743,0.29022831032685026,0.17100711221636244,0.38591981985298535,0.24621651079387988,0.22845220939177585
T4-Shot2,0.44510601780257847,0.2991737663561944,0.24065595408012724,0.2590240561336717,0.3451916231742799,0.5046502594599055,0.10824704883916747,0.30437812078991816,0.2995701336863377,0.3435562971971089,0.26054041832019803,0.12516120176739537,0.0,0.14347842974050642,0.11931660443138596,0.2910792618148467,0.29103570180516,0.1961882645763161,0.3768497512036004,0.13417493177644513,0.19034205592446096
T4-Shot3,0.4167315273731019,0.3143908273644405,0.28891395333687175,0.2956647290760244,0.364716643963691,0.45846616562752157,0.19844585350792057,0.24676275760988242,0.32609178269136396,0.3308287011776435,0.38713010905852496,0.23311751434457184,0.14347842974050642,0.0,0.20271314249018696,0.3947607836764922,0.3641852044952374,0.26334154773632173,0.3715763596415089,0.1821706100428188,0.11323087004426369
T4-Shot4,0.4636466442098626,0.2813870355718835,0.2288367763649405,0.2777582306514394,0.3528118262609615,0.5176096827106679,0.22032931035579595,0.36962559864178957,0.37903319089189474,0.40169620444786364,0.26713894175060937,0.2171843660483161,0.11931660443138596,0.20271314249018696,0.0,0.2746269349879093,0.2851154300580745,0.2844739698957964,0.4448981939867104,0.14114663359311522,0.27533118022893976
T4-Shot5,0.47222546253711656,0.29694671591194005,0.24063913224789374,0.2497596520942672,0.3467609495085282,0.4462020913364153,0.32635191302850725,0.458242636445194,0.3508626139101483,0.3976131582787609,0.17246915785235217,0.2993076142324743,0.2910792618148467,0.3947607836764922,0.2746269349879093,0.0,0.15648383712851638,0.25952202540401503,0.4221305840192564,0.3109169083059489,0.425506584123747
T5-Shot1,0.43038540208802867,0.2675858193604095,0.20309088613619095,0.18743526548080497,0.27882966761113176,0.3946173250760626,0.3291531778600528,0.4525569716039876,0.32982137654947064,0.3842221540255426,0.16059302743730244,0.29022831032685026,0.29103570180516,0.3641852044952374,0.2851154300580745,0.15648383712851638,0.0,0.22128087922313328,0.3206956283581358,0.2890771233478346,0.396478198911361
T5-Shot2,0.4178406002203768,0.29037793386220234,0.2461763171428719,0.2425411948406499,0.3448882605081971,0.5121048195403567,0.19273884573466987,0.297408666986464,0.30459089737696715,0.35192016298072976,0.2736445340079177,0.17100711221636244,0.1961882645763161,0.26334154773632173,0.2844739698957964,0.25952202540401503,0.22128087922313328,0.0,0.3091511361674051,0.27083975632886015,0.25618669233382935
T5-Shot3,0.5033926161261296,0.4239365444658663,0.45731564250171985,0.35798279523286763,0.3503617377228839,0.5544478111414688,0.40506915697167883,0.23630327512289417,0.295135550236579,0.22528758599794163,0.34365419677802644,0.38591981985298535,0.3768497512036004,0.3715763596415089,0.4448981939867104,0.4221305840192564,0.3206956283581358,0.3091511361674051,0.0,0.4208081196920449,0.33808068606539954
T5-Shot4,0.3595302170369441,0.2154845619851217,0.188156006847889,0.21161269415225545,0.3039841429429457,0.4556915603119093,0.21977791233688532,0.3487415004376968,0.3481034000874989,0.3792176231580408,0.2930839381903152,0.24621651079387988,0.13417493177644513,0.1821706100428188,0.14114663359311522,0.3109169083059489,0.2890771233478346,0.27083975632886015,0.4208081196920449,0.0,0.23617135534089195
T5-Shot5,0.4074886328682851,0.28686347108510496,0.31367096646327214,0.3039617981403778,0.35186607943175346,0.45678515958050386,0.18912496159880762,0.18100453501156946,0.28371971723992034,0.3008026293423776,0.37863906604719905,0.22845220939177585,0.19034205592446096,0.11323087004426369,0.27533118022893976,0.425506584123747,0.396478198911361,0.25618669233382935,0.33808068606539954,0.23617135534089195,0.0
